sequence_id,Fixation_Count,Saccade_Count,Fixation_Ratio,MeanVelocity,MaxVelocity_Global,Velocity_STD,Total_Fixation_Duration,Mean_Fixation_Duration,abnormal_type,label_encoded
NOR_00039,150,0,1,0.014053081800479065,0.4224439553184323,0.038235222,150,1,normal,0
NOR_00040,150,0,1,0.009840762,0.135139829,0.016928707,150,1,normal,0
NOR_00041,150,0,1,0.015215829900890373,0.1217333750608819,0.028474902787724667,150,1,normal,0
NOR_00042,150,0,1,0.011282498160790166,0.079847611,0.017285954,150,1,normal,0
NOR_00043,150,0,1,0.012352797653540607,0.2204917014900859,0.027880265200661815,150,1,normal,0
NOR_00044,150,0,1,0.016928637381827105,0.17201878,0.033875571,150,1,normal,0
NOR_00045,150,0,1,0.014828245414785168,0.1949838502986202,0.031327704402219596,150,1,normal,0
NOR_00046,149,1,0.9933333333333333,0.016684815530026955,0.3534914595675249,0.043167309,149,1,normal,0
NOR_00047,147,3,0.98,0.025005784,0.5336275848133554,0.078191765,147,1,normal,0
NOR_00048,148,2,0.9866666666666667,0.015305367936953201,0.490506971,0.054858728,148,1,normal,0
NOR_00049,150,0,1,0.027309377,1.222187231,0.14145889716091975,150,1,normal,0
NOR_00050,149,1,0.9933333333333333,0.017071936230023937,0.3341146429121384,0.042654622,149,1,normal,0
NOR_00051,149,1,0.9933333333333333,0.014083766690457708,0.3314631069599785,0.040777269,149,1,normal,0
NOR_00052,150,0,1,0.013365998,0.2227074848090131,0.036371373,150,1,normal,0
NOR_00053,149,1,0.9933333333333333,0.020204739880489517,0.5316955288657487,0.069743667,149,1,normal,0
NOR_00054,149,1,0.9933333333333333,0.015489927202594475,0.9866098661143244,0.083435764,149,1,normal,0
NOR_00055,150,0,1,0.011517394148373527,0.2008871468654689,0.029360395,150,1,normal,0
NOR_00056,150,0,1,0.012535322801489685,0.2984933866261185,0.036844474,150,1,normal,0
NOR_00057,150,0,1,0.0099905,0.3707243600884538,0.035311695,150,1,normal,0
NOR_00058,150,0,1,0.013800483961267727,0.6369460035143071,0.055634435840593674,150,1,normal,0
NOR_00059,150,0,1,0.005732123,0.079589558,0.012035309926487582,150,1,normal,0
NOR_00060,150,0,1,0.008127644,0.3028866133319412,0.026864023990657064,150,1,normal,0
NOR_00061,150,0,1,0.010604495,0.7101088265040143,0.059492888,150,1,normal,0
NOR_00062,150,0,1,0.017619138113828692,0.8943402898790679,0.098928648,150,1,normal,0
